test for writing sensor data
Time, omega_x, omega_y, omega_z,cam1_x, cam1_y, cam1_z, cam2_x, cam2_y, cam2_z,g_x, g_y, g_z,true_omega_x, true_omega_y, true_omega_z,true_attitude_x, true_attitude_y, true_attitude_z,bias_err, attitude_err
3.2e-07,-0.0270658,-0.00859886,-0.00603093,-0.783193,0.762982,5.05326,0.150712,0.937863,5.12431,-0.014,9.82,-0.27,-0.015009,-0.052586,0.013422,50.944,-41.28,131.661,1.52028,1.97302
0.0587179,-0.0239399,-0.00672242,-0.00374638,-0.774621,0.756908,5.00022,0.151155,0.928233,5.08185,0.048,9.766,-0.218,-0.016387,-0.060588,0.011444,50.721,-41.192,131.765,1.90904,2.03073
0.0911925,-0.0214498,-0.00543186,-0.00257487,-0.774621,0.756908,5.00022,0.150712,0.937863,5.12431,0.032,9.805,-0.241,-0.018695,-0.057006,0.012164,50.594,-41.143,131.824,1.49877,2.23995
0.145995,-0.0190593,-0.00521459,-0.000939388,-0.774621,0.756908,5.00022,0.150712,0.937863,5.12431,0.083,9.802,-0.236,-0.015038,-0.061914,0.010953,50.381,-41.06,131.924,0.850949,2.59113
0.171326,-11.5521,-17.3728,-2.30712,-0.774621,0.756908,5.00022,0.150712,0.937863,5.12431,-0.015,9.823,-0.305,-0.014616,-0.056687,0.011786,50.285,-41.022,131.968,22.4382,2.95664
0.234299,0.0942807,-2.25286,11.042,-0.774621,0.756908,5.00022,0.150712,0.937863,5.12431,0.026,9.806,-0.268,-0.012142,-0.058286,0.013017,50.033,-40.922,132.087,14.7329,2.8425
0.263717,-0.237225,0.103868,-0.12705,-0.774621,0.756908,5.00022,0.150712,0.937863,5.12431,0.056,9.803,-0.247,-0.014173,-0.060569,0.01255,49.927,-40.88,132.136,5.34952,2.77468
0.329407,-0.0132061,-0.00308614,-15.3843,-0.774621,0.756908,5.00022,0.150712,0.937863,5.12431,0.058,9.781,-0.209,-0.016612,-0.059636,0.013037,49.667,-40.777,132.256,14.4685,3.0526
0.361988,-9.7812,0.275209,0.0453544,-0.774621,0.756908,5.00022,0.150712,0.937863,5.12431,0.015,9.806,-0.241,-0.017761,-0.056963,0.012435,49.543,-40.727,132.312,10.2683,3.31735
0.416293,15.343,0.0985474,-0.0493616,-0.774621,0.756908,5.00022,0.150712,0.937863,5.12431,0.049,9.797,-0.221,-0.015783,-0.05859,0.011493,49.341,-40.647,132.406,18.5417,2.52813
0.44871,15.4191,10.0065,0.220952,-0.774621,0.756908,5.00022,0.152954,0.9282,5.0822,0.053,9.805,-0.199,-0.015544,-0.062163,0.012975,49.205,-40.592,132.468,25.0568,2.36769
0.503053,-11.0072,-14.0088,0.0517398,-0.774621,0.756908,5.00022,0.150712,0.937863,5.12431,0.039,9.816,-0.256,-0.017234,-0.053922,0.011418,48.967,-40.496,132.577,13.1371,3.49796
0.570205,0.161859,-10.4261,11.1782,-0.774621,0.756908,5.00022,0.150712,0.937863,5.12431,0.081,9.801,-0.209,-0.014219,-0.062602,0.01255,48.745,-40.405,132.678,19.4129,3.9958
0.602606,10.5152,10.2789,-13.4767,-0.774621,0.756908,5.00022,0.150712,0.937863,5.12431,0.056,9.816,-0.224,-0.017694,-0.057997,0.013973,48.62,-40.355,132.734,14.0161,3.22778
0.657178,-0.00894917,-0.0727929,-11.5701,-0.774621,0.756908,5.00022,0.151155,0.928233,5.08185,0.094,9.775,-0.217,-0.014351,-0.064514,0.013746,48.408,-40.268,132.83,7.61477,2.93372
0.685941,0.0740604,-11.5159,7.90891,-0.774621,0.756908,5.00022,0.150712,0.937863,5.12431,0.021,9.836,-0.264,-0.017554,-0.052654,0.013466,48.306,-40.226,132.876,17.1222,2.92383
0.742568,-0.201042,0.0905657,-0.0381873,-0.774621,0.756908,5.00022,0.151155,0.928233,5.08185,0.092,9.783,-0.21,-0.014091,-0.063279,0.012917,48.087,-40.133,132.973,4.96068,2.89337
0.776059,1.79704,8.91672,0.00172118,-0.774621,0.756908,5.00022,0.152463,0.937517,5.12192,0.088,9.776,-0.202,-0.016004,-0.061768,0.012291,47.964,-40.083,133.028,7.6935,3.13245
0.832424,-9.64498,-14.2398,-1.76223,-0.774621,0.756908,5.00022,0.150712,0.937863,5.12431,0.041,9.795,-0.247,-0.012588,-0.061945,0.012516,47.744,-39.991,133.127,20.595,3.07688
0.890825,0.116097,1.01644,9.95223,-0.774621,0.756908,5.00022,0.150712,0.937863,5.12431,-0.006,9.813,-0.321,-0.01744,-0.054163,0.013236,47.528,-39.901,133.223,10.97,3.34752
0.919863,-0.927375,10.4151,-16.2006,-0.774621,0.756908,5.00022,0.150712,0.937863,5.12431,0.017,9.812,-0.27,-0.010565,-0.057905,0.013516,47.413,-39.853,133.275,16.699,3.27091
0.973991,-0.0158666,-0.00468248,0.962184,-0.774621,0.756908,5.00022,0.150712,0.937863,5.12431,0.042,9.821,-0.237,-0.018498,-0.057639,0.013675,47.187,-39.758,133.375,5.36373,3.40698
1.00666,0.0980055,0.339062,0.0538682,-0.774621,0.756908,5.00022,0.152463,0.937517,5.12192,0.055,9.801,-0.241,-0.01208,-0.060445,0.014109,47.091,-39.717,133.419,3.09632,3.48722
1.06294,0.0309593,0.107593,-0.0695819,-0.774621,0.756908,5.00022,0.152902,0.927995,5.08008,0.05,9.81,-0.25,-0.016376,-0.057692,0.012628,46.856,-39.617,133.521,3.8158,3.34872
1.12292,1.25216,11.0962,0.276291,-0.774621,0.756908,5.00022,0.150712,0.937863,5.12431,0.098,9.773,-0.278,-0.014402,-0.061857,0.013433,46.648,-39.527,133.613,16.8424,3.27862
1.15322,-10.4623,14.4975,0.0474829,-0.774621,0.756908,5.00022,0.150712,0.937863,5.12431,0.035,9.809,-0.225,-0.015155,-0.059546,0.012576,46.535,-39.479,133.662,22.1111,3.27323
1.21077,-14.2775,-0.073325,9.54356,-0.774621,0.756908,5.00022,0.152463,0.937517,5.12192,0.035,9.806,-0.258,-0.013346,-0.058963,0.01268,46.318,-39.387,133.757,24.0495,2.67226
1.23808,0.162391,9.05294,15.1286,-0.774621,0.756908,5.00022,0.150712,0.937863,5.12431,0.069,9.797,-0.222,-0.016022,-0.060078,0.01282,46.215,-39.342,133.8,26.4259,2.03251
1.29392,-0.00735283,-0.0727929,-0.127582,-0.774621,0.756908,5.00022,0.150712,0.937863,5.12431,0.025,9.815,-0.282,-0.017657,-0.057451,0.013938,45.989,-39.243,133.899,13.1862,2.42439
1.32208,0.0894917,-0.073325,8.31758,-0.774621,0.756908,5.00022,0.152902,0.927995,5.08008,0.044,9.799,-0.257,-0.014963,-0.059193,0.012308,45.897,-39.203,133.938,15.663,3.00785
1.38765,-0.247868,0.0926941,-0.0259487,-0.774621,0.756908,5.00022,0.150712,0.937863,5.12431,0.027,9.815,-0.225,-0.016303,-0.059049,0.012569,45.653,-39.096,134.044,5.63127,3.40426
1.41907,-0.0020317,0.0107488,0.282677,-0.774621,0.756908,5.00022,0.150712,0.937863,5.12431,0.043,9.793,-0.223,-0.016401,-0.05747,0.012479,45.534,-39.045,134.094,7.47753,3.2358
1.47333,-7.193,0.336934,0.0363085,-0.774621,0.756908,5.00022,0.159884,0.978879,5.35823,0.02,9.791,-0.251,-0.018549,-0.05383,0.010897,45.339,-38.958,134.177,4.61699,3.41492
1.50848,-0.0100134,0.00755611,-0.0099853,-0.774621,0.756908,5.00022,0.150712,0.937863,5.12431,-0.028,9.819,-0.306,-0.015165,-0.056266,0.013002,45.161,-38.88,134.255,5.48059,3.46797
1.57397,-0.0111453,0.00725387,-0.0111184,-0.774621,0.756908,5.00022,0.150712,0.937863,5.12431,-0.008,9.826,-0.296,-0.017356,-0.055179,0.012067,44.968,-38.794,134.335,8.9122,3.17001
1.60257,-0.0117212,0.00696371,-0.0122061,-0.774621,0.756908,5.00022,0.151155,0.928233,5.08185,-0.012,9.819,-0.293,-0.01298,-0.059376,0.014228,44.852,-38.742,134.387,8.08984,3.35159
1.6563,-10.3251,-14.0669,0.0495189,-0.774621,0.756908,5.00022,0.150712,0.937863,5.12431,-0.011,9.828,-0.313,-0.015185,-0.055843,0.012365,44.661,-38.657,134.465,23.1309,3.51187
1.68353,14.193,9.73398,10.0894,-0.774621,0.756908,5.00022,0.152463,0.937517,5.12192,0.09,9.805,-0.199,-0.014655,-0.062727,0.013286,44.559,-38.61,134.507,16.2112,3.54355
1.73765,-5.83037,9.73345,-12.9085,-0.774621,0.756908,5.00022,0.150712,0.937863,5.12431,0.06,9.805,-0.233,-0.012184,-0.062026,0.013162,44.356,-38.519,134.592,14.4951,4.41731
1.76556,-0.00533583,-0.0728532,5.86711,-0.774621,0.756908,5.00022,0.150712,0.937863,5.12431,0.051,9.812,-0.226,-0.017438,-0.058628,0.012235,44.255,-38.473,134.634,7.08427,4.43775
1.82439,0.0728847,5.9198,6.41146,-0.774621,0.756908,5.00022,0.150712,0.937863,5.12431,0.072,9.801,-0.196,-0.015717,-0.062164,0.012659,43.999,-38.356,134.74,13.4329,4.32206
