test for writing sensor data
Time, omega_x, omega_y, omega_z,cam1_x, cam1_y, cam1_z, cam2_x, cam2_y, cam2_z,g_x, g_y, g_z,true_omega_x, true_omega_y, true_omega_z,true_attitude_x, true_attitude_y, true_attitude_z,bias_err, attitude_err
2.24e-07,0.0788246,-0.45983,-0.034765,-0.736197,0.755118,5.049,0.201499,0.940917,5.1717,0.536,9.772,-0.468,-0.013408,0.092604,0.023166,-112.039,26.44,34.102,1.5215,1.43259
0.0562959,0.0782925,-0.45983,-0.0384898,-0.737128,0.754804,5.0449,0.201499,0.940917,5.1717,0.566,9.8,-0.402,-0.0142,0.092881,0.024515,-111.787,26.638,34.161,2.18341,2.18819
0.0887814,13.7839,5.2806,-0.0459394,-0.732758,0.755403,5.04982,0.203054,0.930106,5.12186,0.554,9.756,-0.486,-0.008821,0.107038,0.019396,-111.623,26.775,34.205,16.2188,2.55394
0.142161,0.566772,10.9593,-13.4797,-0.722759,0.7547,5.04406,0.216102,0.940941,5.17209,0.533,9.794,-0.444,-0.012185,0.104228,0.019858,-111.376,27.015,34.276,18.1536,3.17098
0.163659,-10.8736,-14.2437,-0.766952,-0.554341,0.762341,5.08425,0.383915,0.930557,5.12798,0.47,9.759,-0.459,-0.018096,0.081082,0.020628,-111.279,27.099,34.3,17.5212,3.18727
0.218954,0.0830815,-0.617336,10.9055,-0.50294,0.762368,5.08795,0.451524,0.941231,5.17805,0.459,9.807,-0.405,-0.026613,-0.01969,0.023422,-111.164,27.132,34.278,10.3558,3.31265
0.244192,0.57635,-6.47696,-15.1148,-0.468931,0.763328,5.09268,0.478826,0.936046,5.14035,0.359,9.774,-0.405,-0.031729,-0.086891,0.025724,-111.182,27.048,34.225,16.1584,3.56859
0.300969,-0.359104,0.00683241,-0.566878,-0.442166,0.771162,5.13031,0.508004,0.941215,5.17874,0.625,9.724,-0.414,-0.04814,-0.189646,0.0438,-111.399,26.577,33.979,1.88539,3.84572
0.332133,0.0719071,-0.500803,0.390925,-0.42222,0.764299,5.07111,0.518677,0.936024,5.14116,0.597,9.88,-0.38,-0.005875,-0.17483,0.020288,-111.573,26.228,33.807,0.746812,3.79022
0.386287,10.3789,0.45966,-0.029976,-0.42222,0.764299,5.07111,0.513462,0.928517,5.09087,0.462,9.796,-0.419,-0.048194,-0.169087,0.023851,-111.794,25.729,33.56,14.4992,3.24455
0.417108,10.5237,0.0254563,-0.581777,-0.436214,0.760396,5.03261,0.497507,0.933643,5.12836,0.561,9.778,-0.446,-0.044403,-0.184054,0.026821,-111.939,25.445,33.418,18.1016,2.9476
0.472202,2.74843,-9.88461,-11.9903,-0.497531,0.758867,5.02189,0.431024,0.937887,5.1305,0.482,9.779,-0.413,-0.040432,-0.254008,0.032123,-112.269,24.783,33.147,21.4972,3.33108
0.529716,10.2427,-10.9706,-2.71661,-0.526457,0.763208,5.02681,0.413347,0.948819,5.17922,0.556,9.778,-0.44,-0.043455,-0.256885,0.03915,-112.647,24.013,32.845,21.588,3.92914
0.560785,0.589653,-6.47696,-10.2109,-0.552238,0.762352,5.02079,0.381092,0.943177,5.13844,0.469,9.809,-0.418,-0.047217,-0.277321,0.039839,-112.856,23.588,32.677,18.0945,4.22696
0.620877,-0.495325,0.0206673,-0.671172,-0.596216,0.776664,5.11566,0.351254,0.948685,5.17717,0.572,9.815,-0.415,-0.048239,-0.287678,0.031922,-113.295,22.691,32.35,7.21536,4.37727
0.647345,0.0676502,-0.490693,-6.5308,-0.676222,0.769658,5.05667,0.259664,0.942818,5.13452,0.556,9.864,-0.44,-0.048128,-0.282902,0.029664,-113.508,22.295,32.194,11.6367,4.30378
0.713515,0.5689,0.546927,-0.0379577,-0.77759,0.772217,5.07569,0.163214,0.948539,5.17326,0.558,9.755,-0.401,-0.051232,-0.213949,0.030409,-113.927,21.399,31.847,4.24628,4.50942
0.742309,0.0708429,-0.547629,0.0274922,-0.82088,0.764274,5.03504,0.112981,0.943021,5.13251,0.511,9.778,-0.367,-0.055034,-0.205234,0.028123,-114.066,21.083,31.708,3.32036,4.73649
0.79936,0.0697787,-0.549225,0.0274922,-0.874282,0.761853,5.04455,0.0604184,0.942932,5.13172,0.527,9.802,-0.372,-0.048939,-0.238399,0.030935,-114.375,20.376,31.401,2.47541,5.11623
0.831619,0.0692466,-0.549225,0.0264279,-0.934749,0.773977,5.09686,0.0134845,0.948376,5.17006,0.598,9.787,-0.369,-0.047075,-0.238227,0.042867,-114.502,20.069,31.274,3.55216,5.1304
0.893029,0.0681823,-0.549757,0.0248316,-1.01152,0.763022,5.02864,-0.0773023,0.942904,5.12969,0.533,9.78,-0.388,-0.05788,-0.187469,0.037592,-114.74,19.494,30.99,3.28758,4.92361
0.919548,0.0671181,-0.550822,0.0227032,-1.05487,0.763535,5.03274,-0.121632,0.948265,5.16768,0.609,9.792,-0.333,-0.059578,-0.166099,0.038291,-114.895,19.082,30.789,2.54401,4.71928
0.977482,0.066586,-0.551886,0.0200426,-1.13826,0.760495,5.0024,-0.202246,0.927861,5.07666,0.562,9.804,-0.295,-0.057459,-0.219535,0.034884,-115.109,18.574,30.606,1.97184,4.55715
1.00439,0.0660539,-0.552418,0.0195105,-1.17109,0.752855,4.96367,-0.245778,0.944853,5.16865,0.523,9.775,-0.324,-0.051351,-0.22622,0.031688,-115.251,18.259,30.468,2.08452,4.54507
1.06628,0.0660539,-0.552418,0.0200426,-1.21671,0.752674,4.96884,-0.28121,0.92791,5.07625,0.586,9.764,-0.313,-0.054659,-0.224198,0.036453,-115.61,17.458,30.183,1.55776,4.56276
1.09579,0.0655218,-0.550822,0.0211068,-1.26267,0.760878,5.00645,-0.32659,0.945848,5.17367,0.65,9.78,-0.352,-0.040255,-0.227634,0.035097,-115.744,17.139,30.071,1.54161,4.55742
1.15175,0.0644576,-0.617336,1.09757,-1.3536,0.753156,4.97284,-0.41905,0.937499,5.11756,0.69,9.738,-0.363,-0.03933,-0.146985,0.025041,-115.929,16.652,29.878,3.0739,4.52893
1.1758,0.62424,1.15141,-9.666,-1.39445,0.750134,4.95627,-0.465584,0.945857,5.17292,0.697,9.763,-0.346,-0.033621,-0.056937,0.028541,-115.957,16.539,29.831,10.0986,4.57955
1.23051,-0.418701,0.0243921,-0.672768,-1.46608,0.748672,4.92929,-0.539098,0.922646,5.03691,0.679,9.795,-0.296,-0.004076,-0.02672,0.024992,-115.949,16.375,29.771,3.46581,4.59603
1.26008,0.061797,-0.515702,0.450522,-1.49036,0.738932,4.8827,-0.572677,0.929564,5.08352,0.545,9.801,-0.382,-9.6e-05,0.000524,0.019498,-115.912,16.349,29.77,3.09137,4.58641
1.31512,10.2427,-12.5728,-0.0337008,-1.50455,0.736647,4.88924,-0.58961,0.934918,5.12255,0.656,9.783,-0.346,0.008389,0.026841,0.010898,-115.871,16.356,29.785,20.3103,4.49283
1.34415,4.16172,0.0174747,-0.548786,-1.50693,0.737339,4.89207,-0.585263,0.933915,5.11585,0.14,9.905,-0.539,0.015935,0.097959,0.00121,-115.797,16.432,29.835,11.3527,4.25587
1.40233,13.1012,-11.9279,-0.860604,-1.49142,0.737464,4.89102,-0.574722,0.934218,5.11769,0.525,9.782,-0.334,0.016302,0.02476,0.005894,-115.705,16.518,29.897,30.7697,3.60297
1.43216,-0.00737764,-0.080434,0.0035471,-1.4926,0.748299,4.96427,-0.557238,0.935093,5.12366,0.502,9.736,-0.415,0.002152,0.038513,0.009859,-115.652,16.568,29.92,14.2632,3.49067
1.49061,-0.0101475,-0.0746626,0.00442687,-1.43929,0.746583,4.97381,-0.507165,0.947006,5.20757,0.537,9.797,-0.386,-0.003113,0.031737,0.022692,-115.561,16.607,29.946,7.37156,4.28516
1.51867,-0.0122957,-0.0696327,0.00578228,-1.41041,0.750147,5.01096,-0.464677,0.927439,5.12123,0.548,9.776,-0.432,-0.002953,0.041341,0.021772,-115.491,16.65,29.949,4.70286,4.29343
1.57511,-0.0143581,-0.0653149,0.00504016,-1.35729,0.73504,4.93104,-0.437236,0.927008,5.11833,0.663,9.807,-0.378,0.003668,0.106415,0.019921,-115.313,16.805,29.997,8.7726,3.71169
1.60564,-0.015827,-0.0601482,0.00279524,-1.3293,0.734926,4.92983,-0.413107,0.932329,5.15783,0.553,9.766,-0.443,0.005223,0.1232,0.008209,-115.187,16.971,30.036,9.06435,3.68219
1.6601,-0.154176,0.487396,-0.0988383,-1.28424,0.734584,4.92942,-0.367422,0.931995,5.15571,0.558,9.78,-0.414,-0.006804,0.171178,0.01714,-114.883,17.381,30.121,5.11308,4.1714
1.68708,-0.153644,0.484735,-0.0945814,-1.25469,0.73481,4.92942,-0.33598,0.927221,5.12012,0.588,9.811,-0.437,-0.019023,0.171991,0.018448,-114.71,17.602,30.154,3.74993,4.26611
1.74297,-0.14513,0.330955,0.0150338,-1.18575,0.739394,4.97082,-0.256518,0.932809,5.16172,0.554,9.799,-0.412,-0.019155,0.185701,0.012301,-114.353,18.08,30.233,6.67628,4.00461
1.76922,-0.144598,0.335744,0.0176944,-1.18575,0.739394,4.97082,-0.203983,0.927333,5.12148,0.54,9.811,-0.449,-0.016122,0.192071,0.014319,-114.164,18.331,30.28,7.08453,3.91953
1.83475,-15.9143,-5.10138,-12.6604,-1.09481,0.74622,5.00547,-0.158503,0.926641,5.11739,0.582,9.793,-0.408,-0.011629,0.19813,0.013124,-113.729,18.912,30.377,25.8354,3.82881
1.86239,-0.654894,-12.5946,-17.0179,-1.06397,0.756195,5.05822,-0.158503,0.926641,5.11739,0.521,9.789,-0.405,-0.011288,0.196316,0.013563,-113.538,19.174,30.423,27.4971,2.8302
1.91691,-0.144598,0.939159,-0.0301957,-0.950403,0.750078,5.00579,-0.0138191,0.927693,5.12613,0.543,9.808,-0.44,-0.007342,0.161911,0.016967,-113.201,19.635,30.5,12.5087,2.6377
1.94746,-0.140341,0.940755,-0.0339205,-0.911914,0.755956,5.05569,-0.0138191,0.927693,5.12613,0.573,9.781,-0.428,-0.013347,0.173208,0.016271,-113.017,19.87,30.544,9.64237,3.12206
2.01458,-0.214837,0.658204,-0.0259388,-0.859203,0.7546,5.04839,0.0785091,0.927742,5.12827,0.614,9.801,-0.402,-0.001934,0.215737,0.011078,-112.572,20.488,30.664,7.48829,2.98864
2.04206,-0.212709,0.657672,-0.0285994,-0.81293,0.755174,5.05117,0.0785091,0.927742,5.12827,0.559,9.772,-0.43,-0.001444,0.215447,0.016027,-112.362,20.773,30.728,8.87886,2.70804
2.09836,-0.166947,0.604992,-0.00518645,-0.724471,0.76112,5.0797,0.0785091,0.927742,5.12827,0.497,9.778,-0.48,-0.00752,0.203029,0.009254,-111.962,21.341,30.845,7.29617,3.14004
2.12787,-0.167479,0.610846,-0.00359011,-0.675093,0.755134,5.04845,0.0785091,0.927742,5.12827,0.476,9.767,-0.437,-0.003084,0.166807,0.018807,-111.766,21.596,30.903,4.08368,3.58178
2.18841,-0.168011,0.617231,-0.00252588,-0.57721,0.768622,5.11921,0.0785091,0.927742,5.12827,0.289,9.801,-0.432,-0.010682,0.03161,0.020695,-111.522,21.853,30.925,4.91991,3.74831
2.20656,-0.169075,0.623084,-0.00146166,-0.527785,0.771868,5.13714,0.0785091,0.927742,5.12827,0.46,9.827,-0.447,-0.012913,0.002256,0.020124,-111.495,21.841,30.905,6.57773,3.66249
2.26833,-10.8608,0.278275,0.455091,-0.471758,0.766123,5.08512,0.469148,0.935174,5.13397,0.529,9.754,-0.418,-0.047263,-0.144869,0.03421,-111.577,21.521,30.737,20.301,3.39032
