test for writing sensor data,,,,,,,,,,,,,,,,,,,,
Time, omega_x, omega_y, omega_z,cam1_x, cam1_y, cam1_z, cam2_x, cam2_y, cam2_z,g_x, g_y, g_z,true_omega_x, true_omega_y, true_omega_z,true_attitude_x, true_attitude_y, true_attitude_z,bias_err, attitude_err
1.08714,-0.00624743,-0.0171661,-0.0105293,-0.0260488,0.0909078,0.995519,0.155568,0.0469238,0.98671,0.202457,0.978321,0.043581,-0.000392,-0.009283,-0.184275,-55.689,-11.486,87.642,0.98833,50.5704
1.14232,-0.00497588,-0.0169903,-0.0095973,-0.0275444,0.0902364,0.995539,0.154843,0.049699,0.986688,0.193046,0.980266,0.042558,0.001571,0.006417,-0.121824,-55.695,-10.989,87.641,0.903389,52.1941
1.16943,-0.00273353,-0.015289,-0.00972424,-0.0272038,0.0903257,0.995541,0.155183,0.0504051,0.986599,0.189089,0.981239,0.0376337,-0.001365,-0.010357,-0.092758,-55.712,-10.824,87.645,0.860212,52.7711
1.2268,-0.00160253,-0.0141666,-0.00933527,-0.0274496,0.0895053,0.995608,0.155476,0.0510706,0.986519,0.182814,0.982331,0.0400576,-0.000567,0.001995,0.025893,-55.76,-10.72,87.64,0.79293,53.6274
1.2549,-5.94929E-06,-0.0130891,-0.00947269,-0.0285978,0.089197,0.995603,0.155177,0.0517644,0.98653,0.193758,0.980209,0.0405871,0.000384,0.021368,0.067557,-55.734,-10.799,87.635,0.756725,53.688
1.30883,0.000505118,-0.0115439,-0.00909378,-0.0271446,0.088784,0.995681,0.155464,0.0524613,0.986448,0.187051,0.981557,0.0394703,-0.009191,-0.022494,0.124532,-55.763,-11.094,87.621,0.673729,53.6553
1.33566,-9.64457,7.30554,10.2303,-0.0267501,0.088812,0.995689,0.156157,0.0528028,0.98632,0.19265,0.980493,0.0389789,-0.000181,0.021546,0.165081,-55.749,-11.326,87.61,15.1858,30.7754
1.3902,0.00156934,0.0198507,0.00314481,-0.0271446,0.088784,0.995681,0.155464,0.0524613,0.986448,0.212997,0.976306,0.0381961,0.001181,0.014383,0.20839,-55.656,-11.918,87.586,0.809323,30.734
1.42014,0.00150657,0.018035,0.00352984,-0.0267501,0.088812,0.995689,0.156523,0.0517517,0.986318,0.213459,0.976251,0.0369901,-0.004227,-0.002628,0.214577,-55.648,-12.282,87.574,0.852357,32.9474
1.47414,0.00144631,0.0157811,0.00492113,-0.0271903,0.0891984,0.995643,0.156521,0.0510638,0.986354,0.226627,0.973175,0.0396316,-0.000152,0.022981,0.226405,-55.587,-12.953,87.552,0.899494,36.1963
1.49794,0.00138845,0.0125958,0.00472429,-0.0260423,0.0895081,0.995646,0.155859,0.0496786,0.986529,0.233476,0.971556,0.0395948,-0.002159,0.007671,0.215071,-55.557,-13.265,87.541,0.895759,37.3868
1.55552,0.00133292,0.0100486,0.00300283,-0.0261371,0.0902394,0.995577,0.156219,0.0486584,0.986523,0.237604,0.970437,0.0423928,0.000207,0.011531,0.268637,-55.543,-14.034,87.518,0.923992,39.7346
1.58357,0.0012796,0.00811419,0.000839408,-0.025679,0.0905584,0.99556,0.1562,0.0482958,0.986544,0.255696,0.965827,0.0424111,-0.000872,0.013948,0.296058,-55.513,-14.486,87.507,0.930563,40.4947
1.64067,-0.00776631,-0.00199595,-0.000224817,-0.0250359,0.0908827,0.995547,0.155865,0.0462292,0.986696,0.266124,0.963265,0.0360291,-0.001481,0.012896,0.292952,-55.506,-15.443,87.477,0.878341,41.3023
1.66979,-0.00234738,-0.00191611,-0.000215824,-0.0253407,0.0916031,0.995473,0.155545,0.04519,0.986795,0.280535,0.958919,0.0421312,0.000163,0.021586,0.258023,-55.46,-16.073,87.459,0.82551,41.3512
1.73574,-0.00500794,-0.0657696,0.27329,-0.0244345,0.0923104,0.99543,0.155575,0.0434412,0.986868,0.286444,0.957133,0.0429666,-0.000781,0.004215,0.208493,-55.454,-16.802,87.437,0.578207,39.3118
1.76822,-0.00128315,-0.067366,0.272758,-0.0240008,0.0930538,0.995372,0.155241,0.0420614,0.986981,0.298779,0.953334,0.0434123,-0.002201,0.003845,0.185681,-55.434,-17.162,87.426,0.533418,38.1109
1.82383,0.0955613,0.00446924,1.31729,-0.0255379,0.0942063,0.995225,0.154614,0.0406985,0.987136,0.305544,0.951261,0.0417811,-0.003249,0.00299,0.242723,-55.451,-17.847,87.411,0.963113,30.785
1.85263,0.0960934,0.00446924,1.31889,-0.0243769,0.0948058,0.995197,0.154277,0.0393174,0.987245,0.312985,0.948648,0.0459073,0.001468,0.021372,0.221333,-55.414,-18.215,87.399,0.967035,27.1485
1.90767,0.175378,0.0523594,-9.25365,-0.0242544,0.0950502,0.995177,0.153932,0.0386099,0.987327,0.316793,0.94772,0.038334,-0.004654,-0.018466,0.22293,-55.406,-18.912,87.383,9.63079,72.4819
1.93467,2.88809,0.728142,-0.136437,-0.0247411,0.0955974,0.995113,0.154307,0.0375665,0.987309,0.325452,0.944485,0.0450484,0.002779,0.024292,0.214097,-55.38,-19.228,87.374,3.10639,71.0496
1.99035,0.132809,0.0869467,1.31942,-0.0233852,0.0961111,0.995096,0.153631,0.035849,0.987478,0.337294,0.940404,0.043277,-0.000003,-0.001003,0.146838,-55.274,-19.81,87.345,1.32587,55.7045
2.01717,0.132277,0.088543,1.31783,-0.0222241,0.0964704,0.995088,0.153942,0.0344474,0.987479,0.337902,0.940165,0.0437357,-0.001842,-0.006529,0.106626,-55.289,-20.007,87.346,1.41646,48.5471
2.08235,0.102479,-0.0939716,1.35774,-0.024032,0.0977041,0.994925,0.152969,0.0330639,0.987678,0.345496,0.937118,0.0494295,0.001465,0.021528,-0.034389,-55.163,-20.093,87.327,1.70654,32.6622
2.11182,0.103543,-0.0939716,1.35827,-0.024032,0.0977041,0.994925,0.152646,0.0327187,0.987739,0.343519,0.938066,0.0450198,0.004197,-0.001961,-0.070528,-55.163,-20.01,87.33,1.74838,26.4981
2.16632,0.107268,-0.00830146,1.33273,-0.0225911,0.0986332,0.994867,0.152279,0.0323686,0.987807,0.339346,0.939718,0.0421242,-0.001154,-0.030717,-0.189374,-55.215,-19.585,87.351,1.80795,17.1245
2.19126,0.106204,-0.00723723,1.33326,-0.0243821,0.0987354,0.994815,0.151286,0.0320376,0.987971,0.32705,0.944016,0.0432725,-0.001198,-0.031247,-0.233465,-55.289,-19.277,87.373,1.82961,13.7028
2.24589,0.0439464,0.0800292,0.875641,-0.0257887,0.0987342,0.99478,0.14997,0.0330857,0.988137,0.315949,0.947948,0.039634,0.006091,-0.003029,-0.336574,-55.359,-18.382,87.412,1.41444,10.2886
2.27129,0.046607,0.0816256,0.875641,-0.0246866,0.0981873,0.994862,0.150612,0.0341253,0.988004,0.312513,0.948854,0.0448486,0.005888,-0.008854,-0.383035,-55.394,-17.808,87.432,1.42192,9.29681
2.32652,0.0497997,0.083754,0.874577,-0.0244348,0.0978915,0.994897,0.150939,0.0344709,0.987942,0.284681,0.957732,0.0413115,-0.00074,-0.039999,-0.438184,-55.564,-16.588,87.488,1.37355,8.77608
2.39961,0.0359647,-9.17979,-11.5689,-0.0262321,0.097713,0.994869,0.151599,0.0354899,0.987805,0.253801,0.96639,0.0409357,0.001996,-0.021104,-0.451954,-55.729,-14.695,87.539,14.3489,78.0167
2.4295,-0.481249,0.041185,-0.124198,-0.0261087,0.0965385,0.994987,0.151233,0.0386282,0.987743,0.239636,0.969978,0.0414538,-0.001939,-0.035791,-0.387812,-55.856,-13.981,87.561,1.00874,75.0853
2.48491,0.0428822,-0.0253291,0.475493,-0.0260441,0.095093,0.995128,0.152561,0.0396727,0.987497,0.224053,0.973652,0.0424436,-0.000049,-0.006292,-0.282816,-56.002,-12.967,87.587,1.15906,64.7597
2.51321,0.0439464,-0.0221364,0.4723,-0.0267178,0.093993,0.995214,0.152221,0.0424448,0.987435,0.221832,0.974165,0.0423461,-0.001473,-0.006932,-0.245365,-56.045,-12.522,87.591,1.17652,60.0766
2.57683,-0.0165567,0.017572,-0.101351,-0.0267971,0.0919112,0.995407,0.153886,0.0455559,0.987038,0.200969,0.978733,0.0411488,-0.007965,-0.029167,-0.082472,-56.163,-11.916,87.598,0.686138,53.9518
2.60894,-0.0184485,0.0163583,-0.0972971,-0.0278887,0.0913089,0.995432,0.154198,0.047292,0.986907,0.204641,0.977842,0.0441362,-0.00081,-0.003084,0.018989,-56.206,-11.883,87.597,0.643415,51.2654
2.66489,-0.0902837,0.0834045,-0.493189,-0.0274664,0.0906043,0.995508,0.154829,0.0493594,0.986707,0.202585,0.978414,0.0408011,-0.009795,-0.026333,0.15768,-56.244,-12.139,87.581,0.625428,48.8216
2.69179,-0.0897516,0.0844687,-0.497446,-0.0275444,0.0902364,0.995539,0.154843,0.049699,0.986688,0.209883,0.976896,0.0402991,-0.003054,-0.006094,0.247046,-56.267,-12.48,87.574,0.629481,47.6638
2.74628,-0.501075,0.116928,-0.252142,-0.0263736,0.0894516,0.995642,0.155859,0.0496786,0.986529,0.225266,0.973159,0.0470752,-0.008743,-0.005981,0.313704,-56.206,-13.348,87.541,0.930418,43.9094
2.77422,-0.0173843,-0.106028,-3.9317,-0.0260902,0.0898187,0.995616,0.156189,0.0496869,0.986477,0.195956,0.978063,0.0706693,0.005167,-0.019551,0.421096,-56.22,-13.998,87.53,3.79684,51.1673
2.83104,-0.0769809,-0.0772935,-0.910897,-0.0240236,0.0895375,0.995694,0.157927,0.047613,0.986302,0.300437,0.953775,0.00716811,-0.005283,0.013647,0.366209,-56.173,-15.323,87.546,0.703275,49.4778
2.86234,-0.077513,-0.0799541,-0.910897,-0.0241375,0.0899926,0.99565,0.158245,0.0465614,0.986301,0.291633,0.956195,0.0253147,-0.005812,0.025758,0.32557,-56.11,-15.9,87.514,0.606907,47.8788
2.92182,-0.0817699,-0.0400456,-1.03594,-0.0211188,0.0916102,0.995571,0.159599,0.0430697,0.986242,0.303966,0.952108,0.0330841,-0.001685,-0.000924,0.279178,-56.029,-17.063,87.477,0.580327,45.2218
2.9506,-0.0817699,-0.0400456,-1.03807,-0.0204618,0.0926156,0.995492,0.158943,0.0420531,0.986392,0.281527,0.957886,0.0565504,-0.00217,0.011201,0.234247,-56.02,-17.426,87.468,0.500601,44.1889
3.00552,-0.0828342,-0.0405778,-1.03967,-0.0208371,0.0929663,0.995451,0.158629,0.0403173,0.986515,0.309402,0.95016,0.0382923,0.000541,0.004126,0.176729,-55.954,-18.256,87.441,0.372297,41.5298
3.06568,-0.0801736,-0.0592017,-1.16844,-0.0204173,0.0937033,0.995391,0.158317,0.0392887,0.986606,0.3229,0.945344,0.0453823,0.005813,0.032164,0.009612,-55.889,-18.484,87.427,0.261649,39.2423
3.09339,-0.0796415,-0.0586696,-1.16578,-0.0197619,0.0947082,0.995309,0.157322,0.036868,0.986859,0.32191,0.945881,0.0410318,0.004567,0.025023,-0.060826,-55.846,-18.422,87.418,0.168241,38.3008
3.14611,-0.0796415,-0.0576054,-1.16365,-0.0208706,0.0952326,0.995236,0.156973,0.035813,0.986953,0.328731,0.943855,0.0327806,0.002223,0.017201,-0.195992,-55.83,-18.019,87.427,0.0961445,36.5596
3.1671,-0.0796415,-0.0576054,-1.16099,-0.0208175,0.0964727,0.995118,0.156658,0.0354795,0.987015,0.314627,0.947762,0.0525059,-0.005207,0.016508,-0.241326,-55.828,-17.761,87.421,0.136504,36.041
3.22324,-0.0705956,-0.0187611,-0.842787,-0.0236824,0.0966303,0.995039,0.15429,0.0355037,0.987388,0.291441,0.956007,0.0333515,0.001233,-0.055334,-0.321124,-56.017,-16.831,87.458,0.535574,34.0263
3.25043,-0.0700635,-0.0192932,-0.842255,-0.0236307,0.0964679,0.995056,0.153279,0.0368946,0.987494,0.280582,0.959165,0.0357364,0.00495,0.007672,-0.360713,-56.084,-16.289,87.474,0.577733,33.1212
3.30541,-0.0769809,-0.000669308,-0.96198,-0.0246101,0.0960864,0.995069,0.152611,0.0375876,0.987571,0.263498,0.963804,0.0406405,-0.002533,-0.045318,-0.401163,-56.154,-15.071,87.503,0.495479,32.2669
3.32964,-0.0791094,-0.00386199,-0.961448,-0.0250922,0.09523,0.995139,0.153939,0.0379124,0.987353,0.248387,0.967931,0.0376065,-0.001363,-0.03938,-0.402219,-56.275,-14.501,87.525,0.490689,32.1497
3.38758,-0.0769809,0.095111,-0.870457,-0.0247383,0.0941411,0.995251,0.153939,0.0407028,0.987242,0.233861,0.971471,0.0394033,0.006088,0.007761,-0.458358,-56.379,-13.144,87.556,0.622083,32.7474
3.41945,-0.0769809,0.0945788,-0.872053,-0.0268582,0.0934877,0.995258,0.153886,0.0427861,0.987162,0.21141,0.976485,0.0422209,0.003448,-0.016456,-0.461621,-56.454,-12.28,87.574,0.612355,33.8884
3.47532,-0.0769809,0.0940467,-0.873649,-0.0258415,0.0923074,0.995395,0.154579,0.0438089,0.987009,0.201312,0.978939,0.0339428,-0.002852,-0.012595,-0.362319,-56.606,-10.913,87.603,0.486473,35.7275
3.5358,4.38531,-11.4964,-16.0559,-0.0276559,0.0920938,0.995366,0.154531,0.0465803,0.986889,0.172172,0.984105,0.0435273,-0.001971,-0.014935,-0.156206,-56.727,-10.035,87.606,19.2254,98.2191
3.56331,11.6071,-15.5836,-4.79425,-0.0274974,0.0898159,0.995579,0.154512,0.0496908,0.986741,0.173116,0.984113,0.0394093,-0.008314,-0.012838,-0.042872,-56.758,-9.889,87.601,19.6651,96.4836
3.62791,0.0187993,-0.102303,0.119273,-0.0285978,0.089197,0.995603,0.155177,0.0517644,0.98653,0.176026,0.983544,0.040692,-0.00562,0.015857,0.136426,-56.794,-10.146,87.573,1.54583,77.0907
3.65339,0.0177351,-0.098578,0.120337,-0.0271649,0.0880693,0.995744,0.155816,0.0535054,0.986336,0.182221,0.982314,0.0430741,-0.006016,0.010372,0.194158,-56.755,-10.414,87.558,1.58737,69.7679
3.72628,0.0161388,-0.0943211,0.121933,-0.0275497,0.0874642,0.995787,0.156828,0.0541792,0.986139,0.202904,0.978249,0.0431145,0.002344,0.03078,0.261413,-56.702,-11.477,87.525,1.71898,50.6633
3.78706,0.0214599,0.146194,0.725881,-0.0269593,0.0871726,0.995828,0.157154,0.0531225,0.986144,0.212259,0.97639,0.040099,-0.001587,-0.007849,0.296316,-56.661,-12.369,87.511,2.34976,34.639
3.81671,0.0214599,0.148322,0.729606,-0.0253437,0.0874127,0.99585,0.157854,0.0514002,0.986124,0.228498,0.97273,0.0398056,0.000829,0.025656,0.250788,-56.631,-12.841,87.506,2.39093,27.5899
3.87094,0.132671,0.0456245,1.35377,-0.0253437,0.0874127,0.99585,0.15788,0.0503488,0.986174,0.232602,0.971761,0.03972,-0.008998,-0.049189,0.284766,-56.62,-13.663,87.487,2.87498,14.3857
3.8996,0.134268,0.0456245,1.35165,-0.0243079,0.0890934,0.995727,0.157546,0.0482839,0.98633,0.232898,0.971667,0.0402779,-0.004265,-0.035063,0.331838,-56.666,-14.07,87.489,2.7718,9.27998
3.95607,0.135864,0.128634,1.80234,-0.0239345,0.0902048,0.995636,0.157579,0.0465359,0.986409,0.273897,0.960884,0.0410233,0.005409,0.023373,0.343469,-56.592,-15.589,87.464,3.06912,8.62139
3.98782,0.1348,0.13023,1.80128,-0.0234362,0.0906967,0.995603,0.158237,0.0451678,0.986368,0.277341,0.959941,0.0399421,0.000964,0.018131,0.307471,-56.562,-15.911,87.456,3.00579,12.6941
4.04569,0.0640289,0.0498814,1.12869,-0.0208137,0.0908899,0.995643,0.159599,0.0430697,0.986242,0.292343,0.955204,0.0460463,-0.00073,0.004734,0.28507,-56.464,-16.849,87.43,2.17727,16.4625
4.07941,0.0656252,0.0493493,1.12709,-0.0204622,0.0912151,0.995621,0.159965,0.0413393,0.986257,0.29342,0.954865,0.0462328,-0.005735,-0.024172,0.311072,-56.462,-17.408,87.421,2.03539,17.7637
4.1337,-8.00865,11.2524,11.5996,-0.0204404,0.0929231,0.995463,0.158317,0.0392887,0.986606,0.319105,0.946783,0.0421247,-0.000113,0.028613,0.267857,-56.389,-18.34,87.397,18.742,44.1899
4.16296,-0.0147238,0.0871293,8.05573,-0.0204173,0.0937033,0.995391,0.158303,0.0382296,0.98665,0.322776,0.945354,0.0460526,-0.001623,0.01292,0.240568,-56.327,-18.768,87.377,8.58589,51.3948
4.2184,-0.0908158,0.102561,-0.617171,-0.0205219,0.0942002,0.995342,0.157989,0.0365148,0.986766,0.332695,0.942088,0.0422534,0.010284,0.038886,0.065953,-56.241,-19.298,87.365,0.419684,40.5534
4.24968,-0.0934764,0.102561,-0.617171,-0.0191607,0.0948002,0.995312,0.158338,0.0354476,0.986748,0.332565,0.942522,0.0324478,0.015408,0.066061,-0.05345,-56.141,-19.27,87.355,0.515489,33.8905
